
Iteration; Rate; AvgRate; NumberOfSensors 
628;112.32;82,92973;1
629;124.18;82,99532;1
631;91.20;82,97598;1
632;99.01;83,00135;1
634;91.64;82,99278;1
635;85.07;82,99606;1
637;82.10;82,9654;1
638;114.00;83,01404;1
640;106.49;83,05199;1
641;95.15;83,07085;1
643;118.15;83,13577;1
644;100.43;83,16263;1
646;102.08;83,19042;1
647;125.18;83,25533;1
649;89.65;83,26749;1
650;75.83;83,25605;1
652;109.20;83,28927;1
653;71.08;83,27058;1
655;117.29;83,35878;1
656;76.80;83,34878;1
658;128.11;83,42869;1
659;71.96;83,41129;1
661;113.35;83,42852;1
662;89.03;83,43698;1
664;97.29;83,42422;1
665;84.85;83,42636;1
667;87.07;83,45237;1
668;80.77;83,44836;1
670;82.97;83,4309;1
671;106.23;83,46489;1
673;120.13;83,52072;1
674;87.72;83,52695;1
676;114.28;83,5725;1
677;111.59;83,61389;1
679;110.43;83,63998;1
680;121.95;83,69632;1
682;89.31;83,6837;1
683;113.79;83,72778;1
685;78.67;83,72649;1
686;102.34;83,75363;1
688;85.91;83,7297;1
689;69.00;83,70832;1
691;77.52;83,67811;1
692;86.42;83,68208;1
694;75.89;83,67666;1
695;78.08;83,6686;1
697;89.67;83,67632;1
698;99.08;83,69839;1
700;111.51;83,69879;1
701;107.68;83,73301;1
703;95.43;83,73029;1
704;60.51;83,6973;1
706;94.96;83,69473;1
707;72.57;83,67899;1
709;98.27;83,66816;1
710;76.98;83,65874;1
712;94.93;83,65954;1
713;88.17;83,66587;1
715;64.49;83,66072;1
716;84.93;83,66249;1
718;72.35;83,65057;1
719;86.53;83,65457;1
721;92.70;83,64399;1
722;102.84;83,67059;1
724;65.35;83,62289;1
725;78.54;83,61589;1
727;123.52;83,67736;1
728;72.19;83,66158;1
730;69.54;83,59969;1
731;76.49;83,58996;1
733;135.41;83,69154;1
734;78.13;83,68396;1
736;96.21;83,74093;1
737;95.96;83,75751;1
739;115.28;83,82362;1
740;85.69;83,82614;1
742;112.35;83,86388;1
743;77.54;83,85537;1
745;132.79;83,92212;1
746;82.42;83,92011;1
748;132.40;83,99165;1
749;67.57;83,96972;1
751;139.75;84,08191;1
752;76.56;84,07191;1
754;107.41;84,13704;1
755;70.09;84,11843;1
757;96.45;84,16376;1
758;88.97;84,1701;1
760;87.41;84,18858;1
761;62.67;84,16031;1
763;109.91;84,17939;1
764;91.85;84,18944;1
766;133.88;84,27959;1
767;96.50;84,29552;1
769;112.50;84,34194;1
770;104.17;84,36769;1
772;84.07;84,34663;1
773;90.67;84,35481;1
775;101.64;84,37386;1
776;61.37;84,34421;1
778;92.07;84,35729;1
779;56.20;84,32114;1
781;72.74;84,27398;1
782;50.29;84,23052;1
784;75.63;84,18163;1
785;60.08;84,15093;1
787;63.13;84,104;1
788;87.92;84,10885;1
790;95.73;84,10703;1
791;87.42;84,11121;1
793;91.99;84,11939;1
794;70.58;84,10234;1
796;61.59;84,04568;1
797;74.17;84,03329;1
799;94.30;84,01395;1
800;110.79;84,04742;1
802;126.87;84,10284;1
803;106.35;84,13055;1
805;82.18;84,12671;1
806;77.67;84,11869;1
808;76.86;84,13641;1
809;67.90;84,11634;1
811;139.91;84,19591;1
812;75.86;84,18564;1
814;125.34;84,24557;1
815;73.46;84,23234;1
817;137.95;84,29216;1
818;86.13;84,2944;1
820;145.87;84,36623;1
821;78.49;84,35908;1
823;109.13;84,37449;1
824;74.88;84,36296;1
826;80.58;84,32692;1
827;44.42;84,27866;1
829;74.32;84,25165;1
830;81.14;84,24789;1
832;86.41;84,21672;1
833;67.80;84,19701;1
835;133.17;84,2092;1
836;64.02;84,18505;1
838;146.30;84,24016;1
839;78.21;84,23297;1
841;120.76;84,27464;1
842;73.00;84,26125;1
844;95.39;84,23975;1
845;85.26;84,24096;1
847;134.99;84,30215;1
848;64.50;84,27879;1
850;65.53;84,24512;1
851;74.72;84,23392;1
853;121.24;84,28192;1
854;57.07;84,25005;1
856;103.47;84,28829;1
857;87.97;84,29259;1
859;73.75;84,24699;1
860;75.98;84,23737;1
862;138.60;84,28587;1
863;80.30;84,28125;1
865;92.13;84,27811;1
866;87.07;84,28134;1
868;78.01;84,2795;1
869;92.20;84,28862;1
871;122.82;84,33883;1
872;63.05;84,31441;1
874;89.64;84,3373;1
