
Iteration; Rate; AvgRate
349;63.94;85,3895;
350;94.58;85,41576;
351;120.72;85,51635;
352;82.67;85,50826;
353;70.01;85,46436;
354;107.19;85,52573;
355;100.09;85,56674;
356;84.52;85,5638;
357;124.70;85,67344;
358;127.17;85,78935;
359;87.09;85,79298;
360;104.20;85,84412;
361;97.72;85,87701;
362;78.60;85,85692;
363;115.28;85,93797;
364;128.67;86,05537;
365;120.52;86,1498;
366;97.46;86,1807;
367;92.02;86,19661;
368;75.56;86,16769;
369;139.43;86,31203;
370;96.41;86,33933;
371;103.67;86,38605;
372;92.63;86,40284;
373;71.76;86,36359;
374;77.19;86,33906;
375;84.50;86,33415;
376;76.78;86,30874;
377;86.10;86,30819;
378;75.97;86,28084;
379;32.45;86,13879;
380;65.41;86,08424;
381;79.86;86,0679;
382;92.29;86,08418;
383;84.90;86,08109;
384;73.09;86,04727;
385;80.77;86,03358;
386;78.70;86,01457;
387;81.92;86,004;
388;114.06;86,07631;
389;85.58;86,07504;
390;98.29;86,10636;
391;85.78;86,10554;
392;60.23;86,03954;
393;66.45;85,98969;
394;82.25;85,98019;
395;72.58;85,94626;
396;99.37;85,98015;
397;95.07;86,00304;
398;89.11;86,01083;
399;78.97;85,99319;
400;86.33;85,99402;
401;97.05;86,0216;
402;101.36;86,05975;
403;94.79;86,08141;
404;131.28;86,19329;
405;77.71;86,17233;
406;72.74;86,13925;
407;98.14;86,16875;
408;93.43;86,18655;
409;77.93;86,16636;
410;57.25;86,09583;
411;64.92;86,0443;
412;72.68;86,01187;
413;75.72;85,98695;
414;66.50;85,93988;
415;124.04;86,03168;
416;89.78;86,0407;
417;84.13;86,03613;
418;65.45;85,98687;
419;90.72;85,99817;
420;91.40;86,01104;
421;74.24;85,98309;
422;69.40;85,9438;
423;70.04;85,90621;
424;109.95;85,96292;
425;84.25;85,95889;
426;86.57;85,96033;
427;74.11;85,93259;
428;92.03;85,94683;
429;127.99;86,04484;
430;92.34;86,05948;
431;99.69;86,0911;
432;95.67;86,11327;
433;92.43;86,12785;
434;121.16;86,20857;
435;105.44;86,25279;
436;62.80;86,19901;
437;74.76;86,17284;
438;67.96;86,13125;
439;74.05;86,10374;
440;74.63;86,07765;
441;101.47;86,11256;
442;129.97;86,21179;
443;100.71;86,24451;
444;88.82;86,25031;
445;90.96;86,26089;
446;79.38;86,24547;
447;98.19;86,27219;
448;102.04;86,30739;
449;85.34;86,30524;
450;104.45;86,34557;
451;103.23;86,38302;
452;75.84;86,3597;
453;85.55;86,35792;
454;115.28;86,42162;
455;99.97;86,45139;
456;120.83;86,52679;
457;108.69;86,57528;
458;74.36;86,5486;
459;100.21;86,57835;
460;45.45;86,48895;
461;106.53;86,53241;
462;116.82;86,59797;
463;96.14;86,61858;
464;99.02;86,6453;
465;90.53;86,65366;
466;77.53;86,63408;
467;128.38;86,72347;
468;109.10;86,77129;
469;84.37;86,76616;
470;99.74;86,79376;
471;90.55;86,80174;
472;72.48;86,7714;
473;91.85;86,78214;
474;137.32;86,88876;
475;107.65;86,93247;
476;115.47;86,99243;
477;76.46;86,97036;
478;57.72;86,90916;
479;69.70;86,87324;
480;99.27;86,89906;
481;86.26;86,89774;
482;90.99;86,90623;
483;68.46;86,86804;
484;72.09;86,8375;
485;103.59;86,87206;
486;80.40;86,85873;
487;141.10;86,97011;
488;109.03;87,0153;
489;128.21;87,09956;
490;75.43;87,07574;
491;67.69;87,03626;
492;75.46;87,01274;
493;103.41;87,04601;
494;86.22;87,04433;
495;93.37;87,05711;
496;100.04;87,08327;
497;98.85;87,10694;
498;81.28;87,09524;
499;73.59;87,06818;
500;124.38;87,1428;
501;100.01;87,16849;
502;100.59;87,19522;
503;71.67;87,16435;
504;84.59;87,15925;
505;62.87;87,11115;
506;61.52;87,06057;
507;88.56;87,06351;
508;82.02;87,0536;
509;125.91;87,12993;
510;77.70;87,11143;
511;65.86;87,06984;
512;66.10;87,02889;
513;91.51;87,03764;
514;78.02;87,02009;
515;85.03;87,01622;
516;72.24;86,98758;
517;58.88;86,9332;
518;62.30;86,88565;
519;95.79;86,90281;
520;73.76;86,87754;
521;94.38;86,89194;
522;97.34;86,91196;
523;100.77;86,93846;
524;128.61;87,01798;
525;82.23;87,00886;
526;78.75;86,99316;
527;77.91;86,97593;
528;96.45;86,99388;
529;67.59;86,9572;
530;50.80;86,88898;
531;90.36;86,89552;
532;97.70;86,91582;
533;102.19;86,94448;
534;104.29;86,97697;
535;84.87;86,97302;
536;112.65;87,02092;
537;132.23;87,10511;
538;85.28;87,10172;
539;101.91;87,12919;
540;109.17;87,17001;
541;72.09;87,14214;
542;96.14;87,15874;
543;113.40;87,20707;
544;95.88;87,22301;
545;136.01;87,31253;
546;84.15;87,30674;
547;94.49;87,31988;
548;114.17;87,36887;
549;84.91;87,36439;
550;76.16;87,34402;
551;128.69;87,41904;
552;97.72;87,4377;
553;76.80;87,41846;
554;84.41;87,41302;
555;88.48;87,41496;
556;115.03;87,46462;
557;104.76;87,49568;
558;107.20;87,53099;
559;82.43;87,52187;
560;100.67;87,54535;
561;78.99;87,53009;
562;114.38;87,57786;
563;95.64;87,59219;
564;77.10;87,57358;
565;89.28;87,5766;
566;88.01;87,57736;
567;78.77;87,56183;
568;111.63;87,6042;
569;91.89;87,61172;
570;79.08;87,59676;
571;95.81;87,61114;
572;80.39;87,59851;
573;64.70;87,55855;
574;53.48;87,49918;
575;97.03;87,51575;
576;109.32;87,5536;
577;81.29;87,54275;
578;105.46;87,57375;
579;83.00;87,56585;
580;89.08;87,56847;
581;96.96;87,58463;
582;100.51;87,60683;
583;96.38;87,62189;
584;87.68;87,62199;
585;91.64;87,62885;
586;62.08;87,58526;
587;63.65;87,54449;
588;79.82;87,53134;
589;98.77;87,55042;
590;130.69;87,62354;
591;72.71;87,59831;
592;87.30;87,5978;
593;71.32;87,57034;
594;85.56;87,56696;
595;116.16;87,61501;
596;84.88;87,61042;
597;85.78;87,60736;
598;82.32;87,59852;
599;67.51;87,56498;
600;71.34;87,53794;
601;91.75;87,54495;
602;60.41;87,49988;
603;64.34;87,46147;
604;107.84;87,49522;
605;94.32;87,5065;
606;96.86;87,52193;
607;75.37;87,50191;
608;109.89;87,53874;
609;99.72;87,55874;
610;75.09;87,5383;
611;80.88;87,5274;
612;85.30;87,52377;
613;97.19;87,53954;
614;83.56;87,53307;
615;69.14;87,50317;
616;120.27;87,55635;
617;103.71;87,58253;
618;83.71;87,57628;
619;71.95;87,55104;
620;79.27;87,53767;
621;79.94;87,52544;
622;79.11;87,51192;
623;104.26;87,53881;
624;111.67;87,57748;
625;87.36;87,57713;
626;67.63;87,54527;
627;75.22;87,52561;
628;106.40;87,55567;
629;99.88;87,57526;
630;70.39;87,54797;
631;98.62;87,56553;
632;112.36;87,60475;
633;71.82;87,57981;
634;92.36;87,58735;
635;73.30;87,56485;
636;81.05;87,55461;
637;86.46;87,55289;
638;89.58;87,55607;
639;67.77;87,52511;
640;65.42;87,49057;
641;100.74;87,51125;
642;104.39;87,53753;
643;108.58;87,57025;
644;100.01;87,58956;
645;131.57;87,65775;
646;72.79;87,63474;
647;103.16;87,65874;
648;96.04;87,67168;
649;119.42;87,7206;
650;101.30;87,74149;
651;129.47;87,8056;
652;77.43;87,78968;
653;76.72;87,77274;
654;78.32;87,75828;
655;99.01;87,77545;
656;80.56;87,76444;
657;87.79;87,76448;
658;98.60;87,78094;
659;86.19;87,77853;
660;71.34;87,75362;
661;79.76;87,74153;
662;189.32;87,89497;
663;98.94;87,91163;
664;143.32;87,99507;
665;68.08;87,96513;
666;87.96;87,96512;
667;96.33;87,97766;
668;121.41;88,02771;
669;99.20;88,04442;
670;113.45;88,08234;
671;56.41;88,03514;
672;53.73;87,98409;
673;89.72;87,98667;
674;87.51;87,98596;
675;108.06;88,0157;
676;122.24;88,06633;
677;87.14;88,06496;
678;73.93;88,04411;
679;72.90;88,02181;
680;92.39;88,02824;
681;108.74;88,05866;
682;88.03;88,05862;
683;121.52;88,10762;
684;60.68;88,06753;
685;82.42;88,05928;
686;64.62;88,02512;
687;93.99;88,0338;
688;129.97;88,09476;
689;96.73;88,10728;
690;95.20;88,11756;
691;83.35;88,11066;
692;74.92;88,09159;
693;61.51;88,05324;
694;77.99;88,03873;
695;113.23;88,07499;
696;72.07;88,05199;
697;96.98;88,06481;
698;90.97;88,06897;
699;99.46;88,08526;
700;105.82;88,1106;
701;97.49;88,12399;
702;112.59;88,15883;
703;74.53;88,13945;
704;84.93;88,1349;
705;78.34;88,12099;
706;89.71;88,12325;
707;93.90;88,13142;
708;70.55;88,10658;
709;70.12;88,08121;
710;96.39;88,09292;
711;87.87;88,09261;
712;80.64;88,08214;
713;122.71;88,1307;
714;91.90;88,13598;
715;70.04;88,11067;
716;85.65;88,10723;
717;81.18;88,09757;
718;103.72;88,11934;
719;106.09;88,14433;
720;110.61;88,17552;
721;120.38;88,22019;
722;110.43;88,25095;
723;77.99;88,23676;
724;83.81;88,23065;
725;94.04;88,23866;
726;93.96;88,24654;
727;115.02;88,28337;
728;82.72;88,27573;
729;75.59;88,25834;
730;108.57;88,28617;
731;101.33;88,30402;
732;116.94;88,34314;
733;112.52;88,37611;
734;67.85;88,34814;
735;77.48;88,33336;
736;63.29;88,29934;
737;79.08;88,28683;
738;130.84;88,34449;
739;75.10;88,32656;
740;81.15;88,31686;
741;70.38;88,29266;
