
Iteration; Rate; AvgRate; TotalNumberOfActions 
332;60.00;59,58021;70
333;60.00;59,58147;70
334;60.00;59,58273;70
335;60.00;59,58397;70
336;60.00;59,58521;70
337;60.00;59,58644;70
338;60.00;59,58767;70
339;60.00;59,58889;70
340;60.00;59,5901;70
341;60.00;59,5913;70
342;60.00;59,59249;70
343;60.00;59,59368;70
344;60.00;59,59486;70
345;60.00;59,59604;70
346;60.00;59,5972;70
347;60.00;59,59836;70
348;60.00;59,59952;69
349;60.00;59,60067;68
350;60.00;59,60181;67
351;60.00;59,60294;66
352;60.00;59,60407;65
353;60.00;59,60519;65
354;60.00;59,6063;65
355;60.00;59,60741;65
356;60.00;59,60852;65
357;60.00;59,60962;65
358;60.00;59,61071;65
359;60.00;59,61179;65
360;60.00;59,61287;65
361;60.00;59,61394;65
362;60.00;59,61501;65
363;60.00;59,61607;65
364;60.00;59,61713;65
365;60.00;59,61818;65
366;60.00;59,61922;65
367;60.00;59,62026;65
368;60.00;59,62129;65
369;60.00;59,62232;65
370;60.00;59,62334;65
371;60.00;59,62436;65
372;60.00;59,62537;65
373;60.00;59,62637;64
374;60.00;59,62737;63
375;60.00;59,62836;62
376;60.00;59,62935;61
377;60.00;59,63034;60
378;60.00;59,63131;60
379;60.00;59,63229;60
380;60.00;59,63326;60
381;60.00;59,63422;60
382;60.00;59,63517;60
383;60.00;59,63613;60
384;60.00;59,63707;60
385;60.00;59,63802;60
386;60.00;59,63895;60
387;60.00;59,63989;60
388;60.00;59,64082;60
389;60.00;59,64174;60
390;60.00;59,64266;60
391;60.00;59,64357;60
392;60.00;59,64448;60
393;60.00;59,64539;60
394;60.00;59,64629;60
395;60.00;59,64718;60
396;60.00;59,64808;60
397;60.00;59,64896;60
398;60.00;59,64984;59
399;60.00;59,65072;58
400;60.00;59,65159;57
401;60.00;59,65246;56
402;60.00;59,65333;55
403;60.00;59,65419;54
404;60.00;59,65504;53
405;60.00;59,6559;52
406;60.00;59,65674;51
407;60.00;59,65759;50
408;60.00;59,65842;49
409;60.00;59,65926;49
410;60.00;59,66009;49
411;60.00;59,66092;49
412;60.00;59,66174;49
413;60.00;59,66256;49
414;60.00;59,66338;49
415;60.00;59,66419;49
416;60.00;59,665;49
417;60.00;59,66581;49
418;60.00;59,66661;49
419;60.00;59,6674;49
420;60.00;59,6682;49
421;60.00;59,66899;49
422;60.00;59,66977;49
423;60.00;59,67056;49
424;60.00;59,67133;49
425;60.00;59,67211;49
426;60.00;59,67288;49
427;60.00;59,67365;49
428;60.00;59,67441;49
429;60.00;59,67517;48
430;60.00;59,67592;47
431;60.00;59,67667;46
432;60.00;59,67742;45
433;60.00;59,67817;44
434;60.00;59,67891;44
435;60.00;59,67965;44
436;60.00;59,68038;44
437;60.00;59,68111;44
438;60.00;59,68184;44
439;60.00;59,68257;44
440;60.00;59,68329;44
441;60.00;59,68401;44
442;60.00;59,68472;44
443;60.00;59,68543;44
444;60.00;59,68614;44
445;60.00;59,68685;44
446;60.00;59,68755;44
447;60.00;59,68825;44
448;60.00;59,68894;44
449;60.00;59,68964;44
450;60.00;59,69033;44
451;60.00;59,69101;44
452;60.00;59,6917;44
453;60.00;59,69238;44
454;60.00;59,69305;43
455;60.00;59,69373;42
456;60.00;59,6944;41
457;60.00;59,69507;40
458;60.00;59,69574;39
459;60.00;59,6964;39
460;60.00;59,69706;39
461;60.00;59,69772;39
462;60.00;59,69837;39
463;60.00;59,69902;39
464;60.00;59,69967;39
465;60.00;59,70032;39
466;60.00;59,70096;39
467;60.00;59,7016;39
468;60.00;59,70224;39
469;60.00;59,70287;39
470;60.00;59,70351;39
471;60.00;59,70414;39
472;60.00;59,70476;39
473;60.00;59,70539;39
474;60.00;59,70601;39
475;60.00;59,70663;39
476;60.00;59,70724;39
477;60.00;59,70786;39
478;60.00;59,70847;39
479;60.00;59,70908;38
480;60.00;59,70969;37
481;60.00;59,71029;36
482;60.00;59,71089;36
483;60.00;59,71149;36
484;60.00;59,71209;36
485;60.00;59,71268;36
486;60.00;59,71327;36
487;60.00;59,71386;36
488;60.00;59,71445;36
489;60.00;59,71503;36
490;60.00;59,71561;36
491;60.00;59,71619;36
492;60.00;59,71677;36
493;60.00;59,71734;36
494;60.00;59,71791;36
495;60.00;59,71848;36
496;60.00;59,71905;36
497;60.00;59,71962;36
498;60.00;59,72018;36
499;60.00;59,72074;36
500;60.00;59,7213;36
501;60.00;59,72186;36
502;60.00;59,72241;35
503;60.00;59,72296;34
504;60.00;59,72351;33
505;60.00;59,72406;32
506;60.00;59,72461;31
507;60.00;59,72515;30
508;60.00;59,72569;30
509;60.00;59,72623;30
510;60.00;59,72676;30
511;60.00;59,7273;30
512;60.00;59,72783;30
513;60.00;59,72836;30
514;60.00;59,72889;30
515;60.00;59,72942;30
516;60.00;59,72994;30
517;60.00;59,73046;30
518;60.00;59,73098;30
519;60.00;59,7315;30
520;60.00;59,73202;30
521;60.00;59,73253;30
522;60.00;59,73304;30
523;60.00;59,73355;30
524;60.00;59,73406;30
525;60.00;59,73457;30
526;60.00;59,73507;30
527;60.00;59,73558;30
528;60.00;59,73608;29
529;60.00;59,73658;28
530;60.00;59,73707;28
531;60.00;59,73757;28
532;60.00;59,73806;28
533;60.00;59,73855;28
534;60.00;59,73904;28
535;60.00;59,73953;28
536;60.00;59,74001;28
537;60.00;59,7405;28
538;60.00;59,74098;28
539;60.00;59,74146;28
540;60.00;59,74194;28
541;60.00;59,74242;28
542;60.00;59,74289;28
543;60.00;59,74337;28
544;60.00;59,74384;28
545;60.00;59,74431;28
546;60.00;59,74478;28
547;60.00;59,74524;28
548;60.00;59,74571;28
549;60.00;59,74617;28
550;60.00;59,74663;27
551;60.00;59,74709;26
552;60.00;59,74755;25
553;60.00;59,74801;25
554;60.00;59,74846;25
555;60.00;59,74892;25
556;60.00;59,74937;25
557;60.00;59,74982;25
558;60.00;59,75027;25
559;60.00;59,75071;25
560;60.00;59,75116;25
561;60.00;59,7516;25
562;60.00;59,75204;25
563;60.00;59,75248;25
564;60.00;59,75292;25
565;60.00;59,75336;25
566;60.00;59,7538;25
567;60.00;59,75423;25
568;60.00;59,75466;25
569;60.00;59,75509;25
570;60.00;59,75552;25
571;60.00;59,75595;25
572;60.00;59,75638;25
573;60.00;59,7568;24
574;60.00;59,75723;23
575;60.00;59,75765;22
576;60.00;59,75807;21
577;60.00;59,75849;20
578;60.00;59,75891;19
579;60.00;59,75932;18
580;60.00;59,75974;17
581;60.00;59,76015;16
582;60.00;59,76056;15
583;60.00;59,76097;14
584;60.00;59,76138;14
585;60.00;59,76179;14
586;60.00;59,7622;14
587;60.00;59,7626;14
588;60.00;59,76301;14
589;60.00;59,76341;14
590;60.00;59,76381;14
591;60.00;59,76421;14
592;60.00;59,76461;14
593;60.00;59,76501;14
594;60.00;59,7654;14
595;60.00;59,7658;14
596;60.00;59,76619;14
597;60.00;59,76658;14
598;60.00;59,76697;14
599;60.00;59,76736;14
600;60.00;59,76775;14
601;60.00;59,76814;14
602;60.00;59,76852;14
603;60.00;59,76891;14
604;60.00;59,76929;13
605;60.00;59,76967;12
606;60.00;59,77005;11
607;60.00;59,77043;10
608;60.00;59,77081;9
609;60.00;59,77118;8
610;60.00;59,77156;7
611;60.00;59,77193;6
612;60.00;59,7723;5
613;60.00;59,77267;4
614;60.00;59,77304;4
615;60.00;59,77341;4
616;60.00;59,77378;4
617;60.00;59,77415;4
618;60.00;59,77451;4
619;60.00;59,77488;4
620;60.00;59,77524;4
621;60.00;59,7756;4
622;60.00;59,77597;4
623;60.00;59,77633;4
624;60.00;59,77668;4
625;60.00;59,77704;4
626;60.00;59,7774;4
627;60.00;59,77775;4
628;60.00;59,77811;4
629;60.00;59,77846;4
630;60.00;59,77881;4
631;60.00;59,77916;4
632;60.00;59,77951;4
633;60.00;59,77986;4
634;60.00;59,78021;3
635;60.00;59,78056;2
636;60.00;59,7809;2
637;60.00;59,78124;2
638;60.00;59,78159;2
639;60.00;59,78193;2
640;60.00;59,78227;2
641;60.00;59,78261;2
642;60.00;59,78295;2
643;60.00;59,78329;2
644;60.00;59,78362;131
645;60.00;59,78396;131
646;60.00;59,78429;131
647;60.00;59,78463;131
648;60.00;59,78496;131
649;60.00;59,78529;131
650;60.00;59,78562;131
651;60.00;59,78595;131
652;60.00;59,78628;131
653;60.00;59,78661;131
654;60.00;59,78693;131
655;60.00;59,78726;131
656;60.00;59,78758;131
657;60.00;59,78791;131
658;60.00;59,78823;131
659;60.00;59,78855;131
660;60.00;59,78887;131
661;60.00;59,78919;131
662;60.00;59,78951;131
663;60.00;59,78983;131
664;60.00;59,79015;131
665;60.00;59,79046;131
666;60.00;59,79078;131
667;60.00;59,79109;131
668;60.00;59,7914;131
669;60.00;59,79171;131
670;60.00;59,79203;130
671;60.00;59,79234;130
672;60.00;59,79264;130
673;60.00;59,79295;130
674;60.00;59,79326;130
675;60.00;59,79357;130
676;60.00;59,79387;130
677;60.00;59,79418;130
678;60.00;59,79448;130
679;60.00;59,79478;130
680;60.00;59,79509;130
681;60.00;59,79539;130
682;60.00;59,79569;130
683;60.00;59,79599;130
684;60.00;59,79628;130
685;60.00;59,79658;130
686;60.00;59,79688;130
687;60.00;59,79718;130
688;60.00;59,79747;130
689;60.00;59,79776;130
690;60.00;59,79806;130
691;60.00;59,79835;129
692;60.00;59,79864;128
693;60.00;59,79893;127
694;60.00;59,79922;126
695;60.00;59,79951;125
696;60.00;59,7998;125
697;60.00;59,80009;125
698;60.00;59,80037;125
699;60.00;59,80066;125
700;60.00;59,80095;125
701;60.00;59,80123;125
702;60.00;59,80151;125
703;60.00;59,80179;125
704;60.00;59,80207;125
705;60.00;59,80236;125
706;60.00;59,80264;125
707;60.00;59,80291;125
708;60.00;59,80319;125
709;60.00;59,80347;125
710;60.00;59,80375;125
711;60.00;59,80402;125
712;60.00;59,8043;125
713;60.00;59,80457;125
714;60.00;59,80485;125
715;60.00;59,80512;125
716;60.00;59,80539;124
717;60.00;59,80566;123
718;60.00;59,80593;122
719;60.00;59,80621;121
720;60.00;59,80648;120
721;60.00;59,80674;120
722;60.00;59,80701;120
723;60.00;59,80728;120
724;60.00;59,80754;120
725;60.00;59,80781;120
726;60.00;59,80807;120
727;60.00;59,80834;120
728;60.00;59,8086;120
729;60.00;59,80886;120
