
Iteration; Rate; AvgRate
374;60.00;59,64051;
375;60.00;59,64147;
376;60.00;59,64242;
377;60.00;59,64337;
378;60.00;59,64431;
379;60.00;59,64525;
380;60.00;59,64619;
381;60.00;59,64711;
382;60.00;59,64804;
383;60.00;59,64896;
384;60.00;59,64987;
385;60.00;59,65078;
386;60.00;59,65168;
387;60.00;59,65258;
388;60.00;59,65348;
389;60.00;59,65437;
390;60.00;59,65526;
391;60.00;59,65614;
392;60.00;59,65702;
393;60.00;59,65789;
394;60.00;59,65876;
395;60.00;59,65963;
396;60.00;59,66048;
397;60.00;59,66134;
398;60.00;59,66219;
399;60.00;59,66304;
400;60.00;59,66388;
401;60.00;59,66472;
402;60.00;59,66555;
403;60.00;59,66639;
404;60.00;59,66721;
405;60.00;59,66803;
406;60.00;59,66885;
407;60.00;59,66966;
408;60.00;59,67047;
409;60.00;59,67128;
410;60.00;59,67208;
411;60.00;59,67287;
412;60.00;59,67367;
413;60.00;59,67446;
414;60.00;59,67524;
415;60.00;59,67603;
416;60.00;59,6768;
417;60.00;59,67758;
418;60.00;59,67835;
419;60.00;59,67912;
420;60.00;59,67988;
421;60.00;59,68064;
422;60.00;59,68139;
423;60.00;59,68214;
424;60.00;59,6829;
425;60.00;59,68364;
426;60.00;59,68439;
427;60.00;59,68513;
428;60.00;59,68586;
429;60.00;59,6866;
430;60.00;59,68732;
431;60.00;59,68805;
432;60.00;59,68877;
433;60.00;59,68949;
434;60.00;59,6902;
435;60.00;59,69092;
436;60.00;59,69163;
437;60.00;59,69233;
438;60.00;59,69304;
439;60.00;59,69373;
440;60.00;59,69443;
441;60.00;59,69513;
442;60.00;59,69582;
443;60.00;59,6965;
444;60.00;59,69719;
445;60.00;59,69786;
446;60.00;59,69854;
447;60.00;59,69922;
448;60.00;59,69989;
449;60.00;59,70056;
450;60.00;59,70122;
451;60.00;59,70189;
452;60.00;59,70255;
453;60.00;59,7032;
454;60.00;59,70385;
455;60.00;59,70451;
456;60.00;59,70515;
457;60.00;59,7058;
458;60.00;59,70644;
459;60.00;59,70708;
460;33.31;59,6497;
461;60.00;59,65046;
462;60.00;59,65121;
463;59.90;59,65176;
464;60.00;59,65251;
465;60.00;59,65326;
466;60.00;59,654;
467;60.00;59,65474;
468;60.00;59,65548;
469;60.00;59,65622;
470;60.00;59,65695;
471;60.00;59,65768;
472;60.00;59,6584;
473;60.00;59,65912;
474;60.00;59,65984;
475;60.00;59,66056;
476;60.00;59,66127;
477;60.00;59,66198;
478;60.00;59,66269;
479;60.00;59,66339;
480;60.00;59,6641;
481;60.00;59,66479;
482;60.00;59,66549;
483;60.00;59,66618;
484;60.00;59,66687;
485;60.00;59,66756;
486;60.00;59,66824;
487;60.00;59,66893;
488;60.00;59,66961;
489;60.00;59,67028;
490;60.00;59,67095;
491;60.00;59,67162;
492;60.00;59,67229;
493;60.00;59,67295;
494;60.00;59,67362;
495;60.00;59,67428;
496;60.00;59,67493;
497;60.00;59,67559;
498;60.00;59,67624;
499;60.00;59,67689;
500;60.00;59,67753;
501;60.00;59,67818;
502;60.00;59,67882;
503;60.00;59,67945;
504;60.00;59,68009;
505;30.32;59,62196;
506;60.00;59,6227;
507;30.03;59,56433;
508;59.93;59,56505;
509;60.00;59,5659;
510;60.00;59,56675;
511;60.00;59,5676;
512;60.00;59,56844;
513;60.00;59,56929;
514;60.00;59,57013;
515;60.00;59,57096;
516;60.00;59,57179;
517;60.00;59,57262;
518;60.00;59,57344;
519;60.00;59,57426;
520;60.00;59,57508;
521;60.00;59,5759;
522;60.00;59,57671;
523;60.00;59,57752;
524;60.00;59,57833;
525;60.00;59,57913;
526;60.00;59,57993;
527;60.00;59,58073;
528;60.00;59,58152;
529;60.00;59,58231;
530;60.00;59,5831;
531;60.00;59,58389;
532;60.00;59,58467;
533;60.00;59,58545;
534;60.00;59,58623;
535;60.00;59,587;
536;60.00;59,58777;
537;60.00;59,58854;
538;60.00;59,58931;
539;60.00;59,59007;
540;60.00;59,59083;
541;60.00;59,59158;
542;60.00;59,59234;
543;60.00;59,59309;
544;60.00;59,59384;
545;60.00;59,59458;
546;60.00;59,59533;
547;60.00;59,59607;
548;60.00;59,5968;
549;60.00;59,59754;
550;60.00;59,59827;
551;60.00;59,599;
552;60.00;59,59972;
553;60.00;59,60045;
554;60.00;59,60117;
555;60.00;59,60189;
556;60.00;59,6026;
557;60.00;59,60332;
558;60.00;59,60403;
559;60.00;59,60474;
560;60.00;59,60544;
561;60.00;59,60614;
562;60.00;59,60685;
563;60.00;59,60754;
564;60.00;59,60824;
565;60.00;59,60893;
566;60.00;59,60962;
567;60.00;59,61031;
568;60.00;59,611;
569;60.00;59,61168;
570;60.00;59,61237;
571;60.00;59,61304;
572;60.00;59,61372;
573;60.00;59,6144;
574;60.00;59,61507;
575;60.00;59,61574;
576;60.00;59,61641;
577;60.00;59,61707;
578;60.00;59,61773;
579;60.00;59,61839;
580;60.00;59,61905;
581;60.00;59,61971;
582;60.00;59,62036;
583;60.00;59,62101;
584;60.00;59,62166;
585;60.00;59,62231;
586;60.00;59,62296;
587;60.00;59,6236;
588;60.00;59,62424;
589;60.00;59,62487;
590;60.00;59,62551;
591;60.00;59,62614;
592;60.00;59,62678;
593;60.00;59,62741;
594;60.00;59,62803;
595;60.00;59,62866;
596;60.00;59,62928;
597;60.00;59,6299;
598;60.00;59,63052;
599;60.00;59,63114;
600;60.00;59,63175;
601;60.00;59,63237;
602;60.00;59,63298;
603;60.00;59,63359;
604;60.00;59,63419;
605;60.00;59,6348;
606;60.00;59,6354;
607;60.00;59,636;
608;60.00;59,6366;
609;60.00;59,6372;
610;60.00;59,63779;
611;60.00;59,63838;
612;60.00;59,63897;
613;60.00;59,63956;
614;60.00;59,64015;
615;60.00;59,64073;
616;60.00;59,64132;
617;60.00;59,6419;
618;60.00;59,64248;
619;60.00;59,64305;
620;60.00;59,64363;
621;60.00;59,6442;
622;60.00;59,64477;
623;60.00;59,64534;
624;60.00;59,64591;
625;60.00;59,64648;
626;60.00;59,64704;
627;60.00;59,64761;
628;60.00;59,64817;
629;60.00;59,64873;
630;60.00;59,64928;
631;60.00;59,64984;
632;60.00;59,65039;
633;60.00;59,65095;
634;60.00;59,6515;
635;60.00;59,65205;
636;60.00;59,65259;
637;60.00;59,65314;
638;60.00;59,65368;
639;60.00;59,65422;
640;60.00;59,65477;
641;60.00;59,6553;
642;60.00;59,65584;
643;60.00;59,65638;
644;60.00;59,65691;
645;60.00;59,65744;
646;60.00;59,65797;
647;60.00;59,6585;
648;60.00;59,65903;
649;60.00;59,65955;
650;60.00;59,66008;
651;60.00;59,6606;
652;60.00;59,66112;
653;60.00;59,66164;
654;60.00;59,66216;
655;60.00;59,66267;
656;60.00;59,66319;
