
Iteration; Rate; AvgRate
453;85.49;75,34354;
454;111.70;75,42362;
455;80.50;75,43478;
456;97.01;75,48209;
457;103.57;75,54356;
458;85.09;75,56439;
459;87.39;75,59016;
460;105.22;75,65459;
461;77.65;75,65891;
462;71.19;75,64922;
463;98.83;75,6993;
464;85.80;75,72107;
465;87.85;75,74716;
466;96.95;75,79266;
467;85.35;75,81313;
468;81.83;75,82599;
469;98.72;75,8748;
470;77.68;75,87863;
471;97.64;75,92484;
472;96.99;75,96947;
473;70.21;75,95731;
474;68.32;75,94119;
475;94.76;75,98081;
476;118.13;76,06936;
477;69.39;76,05536;
478;83.90;76,07177;
479;98.53;76,11866;
480;92.62;76,15305;
481;79.92;76,16088;
482;76.92;76,16246;
483;117.62;76,24828;
484;96.93;76,29102;
485;65.47;76,26871;
486;76.04;76,26825;
487;127.66;76,37377;
488;90.07;76,40183;
489;88.05;76,42564;
490;115.64;76,50567;
491;83.95;76,52083;
492;73.40;76,51448;
493;75.69;76,5128;
494;119.66;76,60015;
495;78.02;76,60301;
496;70.21;76,59012;
497;80.93;76,59885;
498;84.78;76,61528;
499;101.03;76,66422;
500;90.88;76,69266;
501;69.71;76,67872;
502;121.57;76,76814;
503;73.26;76,76117;
504;76.46;76,76057;
505;97.46;76,80154;
506;114.91;76,87685;
507;68.51;76,86034;
508;96.23;76,89848;
509;94.05;76,93218;
510;82.61;76,94331;
511;77.53;76,94446;
512;72.23;76,93526;
513;93.01;76,9666;
514;92.17;76,99617;
515;67.91;76,97852;
516;61.29;76,94813;
517;91.98;76,97721;
518;64.87;76,95384;
519;49.52;76,90099;
520;23.96;76,79918;
521;89.01;76,82262;
522;85.24;76,83874;
523;100.53;76,88403;
524;79.59;76,88918;
525;65.29;76,86709;
526;125.22;76,95901;
527;71.35;76,94836;
528;64.17;76,92416;
529;109.14;76,98507;
530;82.80;76,99604;
531;27.21;76,90228;
532;83.05;76,91383;
533;94.61;76,94703;
534;78.49;76,94992;
535;72.82;76,9422;
536;75.43;76,93938;
537;77.51;76,94044;
538;89.76;76,96427;
539;80.46;76,97076;
540;68.50;76,95508;
541;98.88;76,99561;
542;96.81;77,03217;
543;77.20;77,03248;
544;74.65;77,0281;
545;79.75;77,0331;
546;76.60;77,0323;
547;116.49;77,10443;
548;82.56;77,11439;
549;58.46;77,08041;
550;92.37;77,10822;
551;70.30;77,09586;
552;87.26;77,11427;
553;76.21;77,11263;
554;65.79;77,09219;
555;78.20;77,09418;
556;74.52;77,08955;
557;87.57;77,10837;
558;90.28;77,13197;
559;94.45;77,16296;
560;74.06;77,15742;
561;79.36;77,16135;
562;132.07;77,25906;
563;82.75;77,26881;
564;69.97;77,25587;
565;103.52;77,30236;
566;104.31;77,35007;
567;77.22;77,34984;
568;94.97;77,38086;
569;118.91;77,45385;
570;80.71;77,45956;
571;82.00;77,46751;
572;83.69;77,47839;
573;108.63;77,53276;
574;72.05;77,52321;
575;76.30;77,52108;
576;98.40;77,55733;
577;123.75;77,63738;
578;69.22;77,62282;
579;72.01;77,61312;
580;71.77;77,60305;
581;64.63;77,58073;
582;64.81;77,55878;
583;79.50;77,56212;
584;62.72;77,53671;
585;69.67;77,52326;
586;109.04;77,57704;
587;87.10;77,59326;
588;95.47;77,62367;
589;75.85;77,62066;
590;77.46;77,62038;
591;68.67;77,60525;
592;62.66;77,58;
593;67.05;77,56225;
594;80.22;77,56672;
595;73.47;77,55983;
596;56.86;77,5251;
597;64.86;77,50389;
598;77.18;77,50336;
599;76.64;77,50192;
600;95.80;77,53242;
601;88.16;77,55011;
602;61.16;77,52289;
603;69.28;77,50922;
604;97.67;77,5426;
605;93.79;77,56945;
606;62.79;77,54506;
607;101.72;77,58488;
608;68.20;77,56944;
609;63.61;77,54652;
610;101.37;77,58557;
611;102.78;77,62681;
612;68.68;77,61218;
613;82.30;77,61983;
614;102.88;77,66097;
615;79.89;77,6646;
616;72.99;77,65701;
617;68.20;77,64169;
618;66.34;77,6234;
619;64.09;77,60154;
620;78.91;77,60365;
621;69.52;77,59062;
622;79.59;77,59384;
623;57.72;77,56194;
624;89.25;77,58067;
625;81.37;77,58674;
626;79.69;77,59009;
627;42.93;77,53481;
628;70.91;77,52426;
629;84.55;77,53543;
630;73.48;77,52899;
631;62.11;77,50455;
632;65.09;77,48491;
633;60.83;77,4586;
634;85.70;77,4716;
635;55.89;77,43761;
636;69.33;77,42487;
637;25.75;77,34375;
638;61.57;77,31902;
639;56.03;77,28571;
640;82.69;77,29416;
641;72.65;77,28692;
642;88.30;77,30407;
643;68.70;77,2907;
644;77.49;77,291;
645;82.89;77,29967;
646;100.89;77,33619;
647;29.93;77,26292;
648;75.10;77,25957;
649;100.73;77,29573;
650;76.73;77,29486;
651;61.68;77,27087;
652;99.84;77,30547;
653;77.76;77,30617;
654;51.38;77,26653;
655;50.18;77,22517;
656;84.38;77,23608;
657;66.02;77,21902;
658;75.23;77,216;
659;74.43;77,21176;
660;63.97;77,1917;
661;85.53;77,20431;
662;91.39;77,22574;
663;76.46;77,22459;
664;94.77;77,25101;
665;65.75;77,23371;
666;69.94;77,22276;
667;78.62;77,22485;
668;63.85;77,20483;
669;52.44;77,16782;
670;76.10;77,16621;
671;76.01;77,1645;
672;61.44;77,14109;
673;78.67;77,14337;
674;62.25;77,12127;
675;61.23;77,09772;
676;99.29;77,13056;
677;74.41;77,12654;
678;59.50;77,10054;
679;74.31;77,09644;
680;74.92;77,09323;
681;70.43;77,08344;
682;78.97;77,08621;
683;70.40;77,07642;
684;62.72;77,05543;
685;99.49;77,08817;
686;62.62;77,06708;
687;74.32;77,06308;
688;60.80;77,03945;
689;65.52;77,02274;
690;83.59;77,03226;
691;63.73;77,013;
692;60.68;76,9894;
693;73.04;76,9837;
694;95.19;77,00993;
695;75.64;77,00795;
696;52.65;76,97295;
697;79.32;76,97631;
698;55.66;76,94577;
699;66.01;76,93012;
700;93.96;76,95445;
701;63.92;76,93585;
702;64.18;76,91768;
703;102.30;76,95378;
704;57.12;76,92561;
705;77.51;76,92644;
706;88.39;76,94268;
707;82.29;76,95025;
708;95.51;76,97646;
709;89.09;76,99355;
710;86.26;77,00659;
711;73.96;77,00231;
712;90.00;77,02056;
713;98.35;77,05047;
714;53.51;77,0175;
715;71.79;77,01019;
716;72.69;77,00416;
717;82.13;77,01131;
718;104.03;77,04894;
719;76.15;77,04769;
720;70.73;77,03892;
721;65.71;77,02321;
722;74.60;77,01986;
723;86.61;77,03312;
724;70.87;77,02461;
725;97.14;77,05237;
726;71.57;77,04482;
727;62.20;77,02439;
728;71.69;77,01707;
729;63.38;76,99836;
730;92.81;77,02002;
731;86.08;77,03241;
732;93.48;77,05489;
733;62.46;77,03497;
734;77.19;77,03517;
735;60.51;77,0127;
736;91.28;77,03209;
737;82.75;77,03984;
738;89.02;77,05607;
739;68.06;77,04389;
740;69.38;77,03354;
741;68.87;77,02253;
742;69.39;77,01224;
743;60.65;76,99022;
744;105.35;77,02834;
745;119.48;77,08531;
746;65.51;77,0698;
747;73.44;77,06494;
748;75.93;77,06342;
749;56.76;77,03632;
750;74.77;77,03329;
751;99.84;77,06366;
752;86.29;77,07594;
753;66.56;77,06197;
754;65.27;77,04633;
755;57.75;77,02077;
756;81.70;77,02697;
757;87.99;77,04145;
758;97.42;77,06834;
759;83.66;77,07703;
760;76.85;77,07673;
761;80.74;77,08154;
762;61.29;77,06081;
763;72.21;77,05446;
764;62.14;77,03494;
765;79.47;77,03812;
766;102.11;77,07085;
