
Iteration; Rate; AvgRate; NumberOfSensors 
490;115.64;76,50567;1
491;83.95;76,52083;1
493;75.69;76,5128;1
494;119.66;76,60015;1
496;70.21;76,59012;1
497;80.93;76,59885;1
499;101.03;76,66422;1
500;90.88;76,69266;1
502;121.57;76,76814;1
503;73.26;76,76117;1
505;97.46;76,80154;1
506;114.91;76,87685;1
508;96.23;76,89848;1
509;94.05;76,93218;1
511;77.53;76,94446;1
512;72.23;76,93526;1
514;92.17;76,99617;1
515;67.91;76,97852;1
517;91.98;76,97721;1
518;64.87;76,95384;1
520;23.96;76,79918;1
521;89.01;76,82262;1
523;100.53;76,88403;1
524;79.59;76,88918;1
526;125.22;76,95901;1
527;71.35;76,94836;1
529;109.14;76,98507;1
530;82.80;76,99604;1
532;83.05;76,91383;1
533;94.61;76,94703;1
535;72.82;76,9422;1
536;75.43;76,93938;1
538;89.76;76,96427;1
539;80.46;76,97076;1
541;98.88;76,99561;1
542;96.81;77,03217;1
544;74.65;77,0281;1
545;79.75;77,0331;1
547;116.49;77,10443;1
548;82.56;77,11439;1
550;92.37;77,10822;1
551;70.30;77,09586;1
553;76.21;77,11263;1
554;65.79;77,09219;1
556;74.52;77,08955;1
557;87.57;77,10837;1
559;94.45;77,16296;1
560;74.06;77,15742;1
562;132.07;77,25906;1
563;82.75;77,26881;1
565;103.52;77,30236;1
566;104.31;77,35007;1
568;94.97;77,38086;1
569;118.91;77,45385;1
571;82.00;77,46751;1
572;83.69;77,47839;1
574;72.05;77,52321;1
575;76.30;77,52108;1
577;123.75;77,63738;1
578;69.22;77,62282;1
580;71.77;77,60305;1
581;64.63;77,58073;1
583;79.50;77,56212;1
584;62.72;77,53671;1
586;109.04;77,57704;1
587;87.10;77,59326;1
589;75.85;77,62066;1
590;77.46;77,62038;1
592;62.66;77,58;1
593;67.05;77,56225;1
595;73.47;77,55983;1
596;56.86;77,5251;1
598;77.18;77,50336;1
599;76.64;77,50192;1
601;88.16;77,55011;1
602;61.16;77,52289;1
604;97.67;77,5426;1
605;93.79;77,56945;1
607;101.72;77,58488;1
608;68.20;77,56944;1
610;101.37;77,58557;1
611;102.78;77,62681;1
613;82.30;77,61983;1
614;102.88;77,66097;1
616;72.99;77,65701;1
617;68.20;77,64169;1
619;64.09;77,60154;1
620;78.91;77,60365;1
622;79.59;77,59384;1
623;57.72;77,56194;1
625;81.37;77,58674;1
626;79.69;77,59009;1
628;70.91;77,52426;1
629;84.55;77,53543;1
631;62.11;77,50455;1
632;65.09;77,48491;1
634;85.70;77,4716;1
635;55.89;77,43761;1
637;25.75;77,34375;1
638;61.57;77,31902;1
640;82.69;77,29416;1
641;72.65;77,28692;1
643;68.70;77,2907;1
644;77.49;77,291;1
646;100.89;77,33619;1
647;29.93;77,26292;1
649;100.73;77,29573;1
650;76.73;77,29486;1
652;99.84;77,30547;1
653;77.76;77,30617;1
655;50.18;77,22517;1
656;84.38;77,23608;1
658;75.23;77,216;1
659;74.43;77,21176;1
661;85.53;77,20431;1
662;91.39;77,22574;1
664;94.77;77,25101;1
665;65.75;77,23371;1
667;78.62;77,22485;1
668;63.85;77,20483;1
670;76.10;77,16621;1
671;76.01;77,1645;1
673;78.67;77,14337;1
674;62.25;77,12127;1
676;99.29;77,13056;1
677;74.41;77,12654;1
679;74.31;77,09644;1
680;74.92;77,09323;1
682;78.97;77,08621;1
683;70.40;77,07642;1
685;99.49;77,08817;1
686;62.62;77,06708;1
688;60.80;77,03945;1
689;65.52;77,02274;1
691;63.73;77,013;1
692;60.68;76,9894;1
694;95.19;77,00993;1
695;75.64;77,00795;1
697;79.32;76,97631;1
698;55.66;76,94577;1
700;93.96;76,95445;1
701;63.92;76,93585;1
703;102.30;76,95378;1
704;57.12;76,92561;1
706;88.39;76,94268;1
707;82.29;76,95025;1
709;89.09;76,99355;1
710;86.26;77,00659;1
712;90.00;77,02056;1
713;98.35;77,05047;1
715;71.79;77,01019;1
716;72.69;77,00416;1
718;104.03;77,04894;1
719;76.15;77,04769;1
721;65.71;77,02321;1
722;74.60;77,01986;1
724;70.87;77,02461;1
725;97.14;77,05237;1
727;62.20;77,02439;1
728;71.69;77,01707;1
730;92.81;77,02002;1
731;86.08;77,03241;1
733;62.46;77,03497;1
734;77.19;77,03517;1
736;91.28;77,03209;1
737;82.75;77,03984;1
739;68.06;77,04389;1
740;69.38;77,03354;1
742;69.39;77,01224;1
743;60.65;76,99022;1
745;119.48;77,08531;1
746;65.51;77,0698;1
748;75.93;77,06342;1
749;56.76;77,03632;1
751;99.84;77,06366;1
752;86.29;77,07594;1
754;65.27;77,04633;1
755;57.75;77,02077;1
757;87.99;77,04145;1
758;97.42;77,06834;1
760;76.85;77,07673;1
761;80.74;77,08154;1
763;72.21;77,05446;1
764;62.14;77,03494;1
766;102.11;77,07085;1
767;76.69;77,07035;1
769;92.83;77,06489;1
770;60.47;77,04333;1
772;75.64;77,01911;1
773;20.02;76,94537;1
775;81.43;76,90229;1
776;67.48;76,89015;1
778;92.21;76,8833;1
779;65.17;76,86826;1
781;26.11;76,79539;1
782;89.31;76,8114;1
784;68.54;76,81351;1
785;78.99;76,81628;1
787;59.70;76,77364;1
788;78.31;76,7756;1
790;99.13;76,82413;1
791;80.42;76,82868;1
793;81.18;76,82182;1
794;79.70;76,82544;1
796;64.39;76,84329;1
797;58.23;76,81994;1
799;109.33;76,842;1
800;57.69;76,81805;1
802;106.16;76,87461;1
803;58.92;76,85225;1
805;69.21;76,83692;1
806;70.11;76,82858;1
808;77.98;76,80842;1
809;93.02;76,82846;1
811;83.78;76,86805;1
812;57.03;76,84362;1
814;67.06;76,82532;1
815;70.18;76,81717;1
817;66.41;76,78522;1
818;59.84;76,7645;1
820;68.75;76,73728;1
821;83.66;76,74572;1
823;105.39;76,76662;1
824;90.08;76,78278;1
826;72.47;76,76168;1
827;85.69;76,77247;1
829;82.31;76,76695;1
830;81.06;76,77212;1
832;74.05;76,75917;1
833;76.13;76,75842;1
835;106.40;76,78583;1
836;97.93;76,81112;1
838;97.14;76,81327;1
839;59.33;76,79243;1
841;74.67;76,77366;1
842;71.39;76,76727;1
844;73.85;76,74683;1
845;62.84;76,73037;1
847;106.00;76,78222;1
848;57.24;76,75918;1
850;91.71;76,77211;1
851;56.73;76,74856;1
853;80.27;76,72594;1
854;59.39;76,70565;1
856;90.85;76,7067;1
857;76.77;76,70677;1
859;58.99;76,69344;1
860;79.35;76,69653;1
862;64.14;76,68814;1
863;57.31;76,66569;1
865;67.30;76,66269;1
866;65.13;76,64938;1
868;76.47;76,62952;1
869;72.55;76,62482;1
871;71.73;76,61057;1
872;83.59;76,61857;1
874;82.54;76,62311;1
875;90.24;76,63867;1
877;79.14;76,6284;1
878;77.09;76,62892;1
880;84.60;76,63226;1
881;69.59;76,62427;1
883;115.09;76,66463;1
884;63.20;76,64939;1
886;85.83;76,65018;1
887;81.28;76,6554;1
889;101.65;76,66688;1
890;54.93;76,64246;1
892;86.86;76,63213;1
893;70.06;76,62478;1
895;79.50;76,61723;1
896;75.87;76,61639;1
898;115.94;76,65359;1
899;81.36;76,65883;1
901;77.29;76,64989;1
902;62.62;76,63433;1
904;113.06;76,68337;1
905;81.40;76,68858;1
907;74.41;76,66846;1
908;78.60;76,67059;1
910;109.50;76,69901;1
911;84.33;76,70739;1
913;71.82;76,68874;1
914;73.37;76,68511;1
916;95.77;76,6763;1
917;67.17;76,66594;1
919;100.62;76,67683;1
920;101.30;76,70359;1
922;73.13;76,70136;1
923;88.11;76,71372;1
925;67.92;76,69255;1
926;88.61;76,70542;1
928;124.33;76,76926;1
929;72.71;76,76489;1
931;35.62;76,66647;1
932;50.41;76,6383;1
934;63.40;76,60944;1
935;53.43;76,58464;1
937;27.73;76,51501;1
938;77.07;76,51559;1
940;62.05;76,45225;1
941;58.09;76,43273;1
943;74.11;76,40543;1
944;71.61;76,40035;1
946;82.04;76,37407;1
947;72.34;76,36981;1
949;71.31;76,34452;1
950;79.13;76,34745;1
952;101.26;76,35308;1
953;59.21;76,3351;1
955;67.42;76,32336;1
956;66.51;76,3131;1
958;85.16;76,30388;1
959;70.82;76,29816;1
961;122.08;76,34983;1
962;75.77;76,34923;1
964;75.32;76,32506;1
965;73.23;76,32185;1
967;119.55;76,37591;1
968;92.23;76,39228;1
970;82.85;76,40075;1
971;87.61;76,41229;1
973;73.99;76,39159;1
974;65.52;76,38044;1
976;81.73;76,3684;1
977;75.19;76,3672;1
979;74.82;76,34753;1
980;75.03;76,34618;1
982;64.03;76,32549;1
983;59.36;76,30823;1
985;96.20;76,30087;1
986;83.04;76,30771;1
988;80.57;76,3056;1
989;44.29;76,27322;1
991;52.11;76,22442;1
992;68.45;76,21658;1
994;108.73;76,21613;1
995;73.28;76,21319;1
997;69.91;76,19733;1
998;87.13;76,20829;1
1000;64.59;76,20135;1
1001;68.43;76,19359;1
1003;95.80;76,22416;1
1004;92.70;76,24056;1
1006;76.12;76,24096;1
1007;59.72;76,22456;1
1009;61.82;76,19977;1
1010;74.67;76,19826;1
1012;92.23;76,21328;1
1013;82.69;76,21967;1
1015;74.28;76,22526;1
1016;86.88;76,23575;1
1018;99.79;76,24684;1
1019;75.66;76,24627;1
1021;79.33;76,2332;1
1022;53.29;76,21075;1
1024;74.62;76,20621;1
1025;63.79;76,19409;1
1027;74.86;76,17709;1
1028;70.65;76,17172;1
1030;84.36;76,14655;1
1031;52.56;76,12368;1
1033;60.49;76,08162;1
1034;68.05;76,07384;1
1036;114.33;76,09621;1
1037;64.20;76,08473;1
1039;78.17;76,06401;1
1040;51.16;76,04006;1
1042;59.52;76,01356;1
1043;54.20;75,99265;1
1045;55.11;75,95031;1
1046;64.17;75,93905;1
1048;60.66;75,89143;1
1049;63.35;75,87947;1
1051;68.81;75,85679;1
1052;80.35;75,86106;1
1054;75.04;75,84431;1
1055;67.47;75,83636;1
1057;79.93;75,83475;1
1058;57.68;75,81759;1
1060;73.42;75,81139;1
1061;51.93;75,78889;1
1063;62.80;75,77647;1
1064;66.96;75,76818;1
1066;80.99;75,76923;1
1067;66.65;75,76069;1
1069;104.71;75,78065;1
1070;71.36;75,77652;1
1072;60.23;75,73898;1
1073;70.57;75,73416;1
1075;69.81;75,72837;1
1076;56.17;75,7102;1
1078;72.35;75,6842;1
1079;74.47;75,68307;1
1081;65.28;75,66962;1
1082;73.79;75,66788;1
1084;61.90;75,63553;1
1085;59.70;75,62084;1
1087;66.36;75,60513;1
1088;99.59;75,62717;1
1090;75.82;75,61178;1
1091;59.32;75,59685;1
1093;57.72;75,56927;1
1094;59.95;75,55499;1
1096;67.31;75,52033;1
1097;53.96;75,50068;1
1099;103.81;75,5259;1
1100;61.84;75,51346;1
1102;74.44;75,49311;1
1103;67.83;75,48616;1
1105;75.14;75,47239;1
1106;57.86;75,45647;1
1108;55.59;75,43796;1
1109;92.54;75,45338;1
1111;79.80;75,4341;1
1112;59.26;75,41956;1
1114;88.43;75,40926;1
1115;55.00;75,39095;1
1117;97.68;75,39577;1
1118;71.01;75,39185;1
1120;62.66;75,37659;1
1121;81.42;75,38198;1
1123;109.38;75,40009;1
1124;61.87;75,38805;1
1126;95.10;75,35949;1
1127;53.24;75,33986;1
1129;55.76;75,31113;1
1130;85.01;75,31972;1
1132;102.23;75,34886;1
1133;49.72;75,32624;1
1135;77.63;75,29728;1
1136;37.14;75,26369;1
1138;66.88;75,24463;1
1139;57.38;75,22894;1
1141;52.40;75,19159;1
1142;25.10;75,14773;1
1144;82.79;75,13741;1
1145;46.68;75,11256;1
1147;60.33;75,08185;1
1148;82.26;75,0881;1
1150;67.06;75,06115;1
1151;46.50;75,03634;1
1153;60.73;75,0101;1
1154;44.58;74,98373;1
1156;69.46;74,96988;1
1157;50.66;74,94887;1
1159;69.60;74,93263;1
1160;68.58;74,92716;1
1162;68.10;74,90619;1
1163;74.63;74,90595;1
1165;61.81;74,89729;1
1166;43.05;74,86997;1
1168;60.83;74,84129;1
1169;64.08;74,83208;1
1171;52.64;74,79866;1
1172;73.40;74,79747;1
1174;48.33;74,77686;1
1175;68.35;74,77139;1
1177;79.19;74,76262;1
1178;54.11;74,74509;1
1180;57.77;74,71258;1
1181;85.10;74,72137;1
1183;80.98;74,71608;1
1184;52.08;74,69696;1
1186;105.27;74,7111;1
1187;47.55;74,68822;1
1189;45.48;74,63996;1
1190;59.64;74,62736;1
1192;50.77;74,61023;1
1193;67.14;74,60397;1
1195;65.58;74,58009;1
1196;76.03;74,5813;1
1198;57.06;74,55423;1
1199;55.97;74,53873;1
1201;79.33;74,51766;1
1202;69.74;74,51369;1
1204;67.68;74,49848;1
1205;51.98;74,4798;1
1207;66.79;74,46513;1
1208;61.96;74,45477;1
1210;72.31;74,45015;1
1211;70.53;74,44691;1
1213;78.24;74,4398;1
1214;86.49;74,44972;1
1216;62.06;74,4337;1
1217;51.55;74,4149;1
1219;85.59;74,41394;1
1220;90.81;74,42738;1
1222;60.71;74,4129;1
1223;66.52;74,40644;1
1225;56.05;74,38705;1
1226;63.20;74,37793;1
1228;48.96;74,34044;1
1229;61.94;74,33035;1
1231;89.98;74,34318;1
1232;72.95;74,34205;1
1234;63.24;74,3074;1
1235;69.96;74,30389;1
1237;64.29;74,29491;1
1238;51.99;74,27689;1
1240;61.65;74,24792;1
1241;53.99;74,2316;1
1243;56.95;74,20041;1
1244;83.68;74,20803;1
1246;68.20;74,1863;1
1247;50.71;74,16748;1
1249;74.79;74,16235;1
1250;52.05;74,14466;1
1252;69.53;74,12724;1
1253;67.15;74,12168;1
1255;79.59;74,12402;1
1256;52.95;74,10716;1
1258;104.37;74,12682;1
1259;55.07;74,11168;1
1261;85.72;74,1189;1
1262;60.81;74,10835;1
1264;84.00;74,09657;1
1265;56.83;74,08292;1
1267;68.70;74,08111;1
1268;67.62;74,07601;1
1270;76.80;74,06976;1
1271;59.46;74,05826;1
1273;90.43;74,04898;1
1274;47.60;74,02822;1
1276;65.05;74,02106;1
1277;56.43;74,00728;1
1279;61.32;73,98487;1
1280;52.37;73,96799;1
1282;75.25;73,97686;1
1283;49.79;73,95801;1
1285;96.76;73,9766;1
1286;55.80;73,96247;1
1288;90.73;73,9609;1
1289;60.15;73,95018;1
1291;86.91;73,95387;1
1292;85.35;73,96269;1
1294;68.63;73,95775;1
1295;51.99;73,94078;1
1297;73.58;73,93805;1
1298;69.24;73,93443;1
1300;74.69;73,91933;1
1301;54.98;73,90477;1
1303;79.02;73,90031;1
1304;60.14;73,88976;1
1306;78.09;73,87635;1
1307;58.23;73,86438;1
1309;99.82;73,86545;1
1310;77.43;73,86816;1
1312;57.93;73,84792;1
1313;64.15;73,84054;1
1315;51.44;73,81802;1
1316;75.47;73,81928;1
1318;54.19;73,80479;1
1319;73.94;73,80489;1
1321;56.54;73,78296;1
1322;54.37;73,76827;1
1324;69.98;73,74631;1
1325;77.95;73,74948;1
1327;97.46;73,75575;1
1328;85.34;73,76448;1
1330;57.05;73,73011;1
1331;55.90;73,71671;1
1333;80.39;73,70529;1
1334;67.55;73,70068;1
1336;74.31;73,70213;1
1337;92.61;73,71627;1
1339;60.15;73,70829;1
1340;72.70;73,70753;1
1342;78.84;73,69711;1
1343;63.06;73,68919;1
1345;75.41;73,67744;1
1346;86.34;73,68684;1
1348;73.55;73,70164;1
1349;61.79;73,69282;1
1351;62.66;73,68528;1
1352;70.92;73,68324;1
1354;98.47;73,68121;1
1355;54.03;73,6667;1
1357;74.77;73,66164;1
1358;44.93;73,64048;1
1360;64.86;73,61583;1
1361;54.72;73,60194;1
1363;61.79;73,57375;1
1364;50.13;73,55656;1
1366;40.64;73,52982;1
1367;78.46;73,53342;1
1369;19.86;73,48983;1
1370;55.36;73,47659;1
1372;61.09;73,46425;1
1373;60.22;73,45461;1
1375;61.60;73,45705;1
1376;72.66;73,45647;1
1378;125.95;73,48111;1
1379;97.43;73,49848;1
1381;81.74;73,48653;1
1382;67.41;73,48213;1
1384;54.55;73,46318;1
1385;53.10;73,44848;1
1387;25.13;73,39697;1
1388;51.42;73,38113;1
1390;92.43;73,40036;1
1391;78.74;73,40421;1
1393;82.46;73,40247;1
1394;52.15;73,38723;1
1396;69.36;73,36877;1
1397;78.13;73,37218;1
1399;63.90;73,36115;1
1400;65.18;73,35531;1
1402;61.13;73,34126;1
1403;67.99;73,33745;1
1405;58.73;73,31624;1
1406;52.71;73,30158;1
1408;61.93;73,28128;1
1409;60.11;73,27193;1
1411;48.92;73,23742;1
1412;63.36;73,23042;1
1414;59.84;73,20792;1
1415;72.61;73,2075;1
1417;71.46;73,19547;1
1418;53.87;73,18184;1
1420;70.68;73,1752;1
1421;68.65;73,17201;1
1423;84.30;73,16612;1
1424;78.65;73,16998;1
1426;67.42;73,1578;1
1427;68.99;73,15488;1
1429;90.40;73,14946;1
1430;56.63;73,13791;1
1432;62.59;73,13191;1
1433;53.31;73,11808;1
1435;70.50;73,10812;1
1436;60.23;73,09915;1
1438;58.50;73,08614;1
1439;58.85;73,07624;1
1441;62.06;73,06237;1
1442;60.99;73,054;1
1444;79.42;73,04944;1
1445;56.66;73,03809;1
1447;59.24;73,02559;1
1448;60.41;73,01688;1
